title,artist,id,releasedate,month,type,songs,duration,genre,image,link,favs,hr
Stupido Amore,Mecna,62,05/04/2023,may,Album,10,32min 21s,rap,/icons/images/calendar/stupido-amore.jpg,,,false
Won't He Do It,Conway the Machine,73,05/05/2023,may,Album,14,49min 25s,rap,/icons/images/calendar/wont-he-do-it.jpg,,,false
El Tobogán,Cráneo & Bejo,80,05/11/2023,may,Album,10,29min 52s,rap,/icons/images/calendar/el-tobogan.jpg,,,false
Alto Cielo,Queralt Lahoz,61,05/12/2023,may,EP,4,13min 25s,indie,/icons/images/calendar/alto-cielo.jpg,,,false
Oráculo,Chica Sobresalto,58,05/12/2023,may,Album,11,38min 29s,pop,/icons/images/calendar/oraculo.jpg,,,false
Doctrina,VELA INFAMOUS & Zamoranobeatz,19,05/12/2023,may,EP,6,18min 46s,rap,/icons/images/calendar/doctrina.jpg,,,false
Paraíso 39,Juancho Marqués,46,05/18/2023,may,Album,16,1h 2min,rap,/icons/images/calendar/paraiso.jpg,,,false
EN UNA NUBE,Dudi,18,05/19/2023,may,EP,4,9min 47s,rap,/icons/images/calendar/en-una-nube.jpg,,,true
4 TEMAS,Erick Hervé  ,14,05/19/2023,may,EP,4,12min 42s,rap,/icons/images/calendar/4-temas.jpg,https://open.spotify.com/intl-es/album/1a2x6o2Hsn00hOF2csmzJX?si=5e6daeed21894e4f,⭐,true
Me Muevo Con Dios,Cruz Cafuné,15,05/25/2023,may,Album,23,1h 16min,trap,/icons/images/calendar/me-muevo-con-dios.jpg,https://open.spotify.com/intl-es/album/7yvmtCjHcBe9DqIVl7AwQT?si=2dab38b78ce54de4,⭐,true
16 MILLAS,Prok & Akapellah,16,05/26/2023,may,Album,7,22min 31s,rap,/icons/images/calendar/16-millas.jpg,,,false
REDRUM,Ochoa,100,05/26/2023,may,Album,14,41min 19s,rap,/icons/images/calendar/redrum.jpg,,,false
Amores Náufragos,Meri Deal,60,05/31/2023,may,Album,13,36min 16s,pop,/icons/images/calendar/amores-naufragos.jpg,,,false
"Instinto Animal, Vol. 2",Titó,96,06/02/2023,june,Album,9,29min 6s,rap,/icons/images/calendar/instinto-animal-vol2.jpg,,,false
But Here We Are,Foo Fighters,76,06/02/2023,june,Album,10,48min 14s,rock,/icons/images/calendar/but-here-we-are.jpg,,,false
Split Decision,Dave & Central Cee,33,06/04/2023,june,EP,4,16min 23s,rap,/icons/images/calendar/split-decision.jpg,,,false
6,Kenny Mason,82,06/06/2023,june,Album,9,30min 29s,rap,/icons/images/calendar/6.jpg,,,false
Fountain Baby,Amaarae,97,06/09/2023,june,Album,14,39min 40s,pop,/icons/images/calendar/fountain-baby.jpg,,,false
When I Hear Your Name,Maeta,52,06/09/2023,june,Album,13,40min 15s,r&b,/icons/images/calendar/when-i-hear-your-name.jpg,,,false
Nada que aportar,yavy,47,06/09/2023,june,Album,9,25min 31s,pop,/icons/images/calendar/nada-que-aportar.jpg,,,false
El Pelusa Jiménez,Hide Tyson & Trozos de Groove,12,06/15/2023,june,Album,9,20min 13s,rap,/icons/images/calendar/el-pelusa-jimenez.jpg,,,false
Artillería,Samuraï ,9,06/15/2023,june,EP,6,17min 24s,indie,/icons/images/calendar/artilleria.jpg,https://open.spotify.com/intl-es/album/6jVA72WRY7ixs7K4Qx0A28?si=a3793b7e502949a7,⭐,true
Pánico,Vico C,8,06/15/2023,june,Album,13,1h 1min,rap,/icons/images/calendar/panico.jpg,https://open.spotify.com/intl-es/album/3DbhVw6p0iVdefGuSjXKdO?si=3020e4c8aa574393,⭐,true
"it’s not you, it’s me",Chase Shakur,71,06/16/2023,june,Album,10,27min 23s,r&b,/icons/images/calendar/its-not-you-its-me.jpg,,,false
