title,artist,id,releasedate,month,type,songs,duration,genre,image,favm,favs,hr
16 MILLAS,Prok & Akapellah,16,26/05/2023,may,Album,7,22min 31s,rap,/icons/images/calendar/.jpg,,,No
Amores Náufragos,Meri Deal,60,31/05/2023,may,Album,13,36min 16s,pop,/icons/images/calendar/.jpg,,,No
"Instinto Animal, Vol. 2",Titó,96,02/06/2023,june,Album,9,29min 6s,rap,/icons/images/calendar/.jpg,,,No
But Here We Are,Foo Fighters,76,02/06/2023,june,Album,10,48min 14s,rock,/icons/images/calendar/.jpg,,,No
Split Decision,Dave & Central Cee,33,04/06/2023,june,EP,4,16min 23s,drill,/icons/images/calendar/.jpg,,,No
6,Kenny Mason,82,06/06/2023,june,Album,9,30min 29s,rap,/icons/images/calendar/.jpg,,,No
Fountain Baby,Amaarae,97,09/06/2023,june,Album,14,39min 40s,pop,/icons/images/calendar/.jpg,,,No
When I Hear Your Name,Maeta,52,09/06/2023,june,Album,13,40min 15s,r&b,/icons/images/calendar/.jpg,,,No
Nada que aportar,yavy,47,09/06/2023,june,Album,9,25min 31s,pop,/icons/images/calendar/.jpg,,,No
El Pelusa Jiménez,Hide Tyson & Trozos de Groove,12,15/06/2023,june,Album,9,20min 13s,rap,/icons/images/calendar/.jpg,,,No
Artillería,"Samuraï ",9,15/06/2023,june,EP,6,17min 24s,indie,/icons/images/calendar/.jpg,⭐,⭐,Yes
"Pánico ",Vico C,8,15/06/2023,june,Album,13,1h 1min,rap,/icons/images/calendar/.jpg,,⭐,Yes
"it’s not you, it’s me",Chase Shakur,71,16/06/2023,june,Album,10,27min 23s,r&b,/icons/images/calendar/.jpg,,,No
PetroDragonic Apocalypse,King Gizzard & The Lizard Wizard,37,16/06/2023,june,Album,7,48min 40s,heavy metal,/icons/images/calendar/.jpg,,,No
claridad,Marina Reche,30,16/06/2023,june,EP,7,20min 25s,pop,/icons/images/calendar/.jpg,⭐,⭐,Yes
Time Over Money,Kavel,31,22/06/2023,june,Album,11,31min 22s,rap,/icons/images/calendar/.jpg,,,No
Your Momma,Javier Laocoonte & G.Bautista,72,23/06/2023,june,EP,4,14min 3s,rap,/icons/images/calendar/.jpg,,,No
PO2054AZ (Vol.I),Sen Senra,26,23/06/2023,june,Album,13,41min 1s,pop,/icons/images/calendar/.jpg,,⭐,Yes
Hay Fantasmas Todavía,Cevlade,65,30/06/2023,june,Album,13,40min 32s,rap,/icons/images/calendar/.jpg,,,No
My Back Was a Bridge for You to Cross,ANOHNI & Antony and the Johnsons,77,06/07/2023,july,Album,10,41min 23s,indie,/icons/images/calendar/.jpg,,,No
The Open Range,U-Love,42,13/07/2023,july,Album,14,27min 21s,r&b,/icons/images/calendar/.jpg,,,No
Beautiful and Brutal Yard,J Hus,36,14/07/2023,july,Album,19,1h 3min,rap,/icons/images/calendar/.jpg,⭐,⭐,No
SS23,Holics,86,15/07/2023,july,Album,10,27min 26s,rap,/icons/images/calendar/.jpg,,,No
Something,Sol ChYld,59,21/07/2023,july,EP,3,6min 38s,rap,/icons/images/calendar/.jpg,,,No
Get Up,NewJeans,4,21/07/2023,july,EP,6,12min 13s,k-pop,/icons/images/calendar/.jpg,,,No
new jazz,kyra,5,22/07/2023,july,EP,5,9min 27s,electronic,/icons/images/calendar/.jpg,,,No
The Loveliest Time,Carly Rae Jepsen,25,28/07/2023,july,Album,13,43min 35s,pop,/icons/images/calendar/.jpg,,⭐,Yes
UTOPIA,Travis Scott,21,28/07/2023,july,Album,19,1h 13min,trap,/icons/images/calendar/.jpg,,,No
METANOIA,Belén Aguilera,45,30/07/2023,july,Album,7,18min 59s,hyperpop,/icons/images/calendar/.jpg,,,No
Volcano,Jungle,44,11/08/2023,august,Album,14,44min 40s,dance,/icons/images/calendar/.jpg,⭐,⭐,Yes
Sundial,Noname,7,11/08/2023,august,Album,11,31min 54s,rap,/icons/images/calendar/.jpg,,⭐,Yes
Hotel 1105,D2x,40,23/08/2023,august,Album,10,38min 56s,rap,/icons/images/calendar/.jpg,,,No
ESTRELLA,Mora,63,28/08/2023,august,Album,15,48min 10s,reggaeton,/icons/images/calendar/.jpg,,,No
El Lamento de los Niños Pobres,SECCIO & Sweet Home,54,01/09/2023,september,Album,12,33min 27s,rap,/icons/images/calendar/.jpg,⭐,⭐,Yes
PERRO VERDE,Escandaloso Xpósito & Ciclo,91,04/09/2023,september,Album,12,37min 17s,rap,/icons/images/calendar/.jpg,,,No
Camina Conmigo,Locus,92,06/09/2023,september,Album,7,26min 27s,rap,/icons/images/calendar/.jpg,,,No
Playing Robots into Heaven,James Blake,56,08/09/2023,september,Album,11,42min 44s,experimental,/icons/images/calendar/.jpg,,⭐,Yes
"Papel de Burbujas ",Xavibo,90,13/09/2023,september,Album,13,41min 41s,pop,/icons/images/calendar/.jpg,⭐,⭐,Yes
Magic 3,Nas,99,14/09/2023,september,Album,15,45min 50s,rap,/icons/images/calendar/.jpg,,,No
The Love Album: Off The Grid,Diddy,94,15/09/2023,september,Album,23,1h 24min,r&b,/icons/images/calendar/.jpg,,⭐,Yes
Alpha,Aitana,81,22/09/2023,september,Album,15,,pop,/icons/images/calendar/.jpg,,,No
falling or flying,Jorja Smith,88,29/09/2023,september,Album,16,,r&b,/icons/images/calendar/.jpg,,,No
