Title,Artist,Genre,Release Date,Month,Type,Songs,Duration,Fav,Favs
The Loveliest Time,Carly Rae Jepsen,pop,28/07/2023,july,Album,13,43min 35s,,⭐
UTOPIA,Travis Scott,trap,28/07/2023,july,Album,19,1h 13min,,
METANOIA,Belén Aguilera,hyperpop,30/07/2023,july,Album,7,18min 59s,,
Volcano,Jungle,dance,11/08/2023,august,Album,14,44min 40s,⭐,⭐
Sundial,Noname,rap,11/08/2023,august,Album,11,31min 54s,,⭐
Hotel 1105,D2x,rap,23/08/2023,august,Album,10,38min 56s,,
ESTRELLA,Mora,reggaeton,28/08/2023,august,Album,15,48min 10s,,
El Lamento de los Niños Pobres,SECCIO & Sweet Home,rap,01/09/2023,september,Album,12,33min 27s,⭐,⭐
PERRO VERDE,Escandaloso Xpósito & Ciclo,rap,04/09/2023,september,Album,12,37min 17s,,
Camina Conmigo,Locus,rap,06/09/2023,september,Album,7,26min 27s,,
Playing Robots into Heaven,James Blake,experimental,08/09/2023,september,Album,11,42min 44s,,⭐
"Papel de Burbujas ",Xavibo,pop,13/09/2023,september,Album,13,41min 41s,⭐,⭐
The Love Album: Off The Grid,Diddy,r&b,15/09/2023,september,Album,23,1h 24min,,
Alpha,Aitana,pop,22/09/2023,september,Album,15,,,
falling or flying,Jorja Smith,r&b,29/09/2023,september,Album,16,,,
